                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.6084,                  2.854,                 3.1508,                0.54628,                0.36364,                 0.3563,                0.17723,                 2.7203,                 3.0475,                 3.3927,               0.006634,               0.006634,               0.006634
                     36,                  2.416,                 2.8529,                 3.0264,                0.46493,                0.45455,                0.41332,                 0.1665,                 2.5863,                  5.067,                   3.26,               0.006535,               0.006535,               0.006535
                     37,                 2.4025,                 2.6755,                 3.0285,                0.42645,                0.72727,                0.50561,                0.19976,                 2.6155,                 2.5829,                 3.4473,               0.006436,               0.006436,               0.006436
                     38,                 2.5637,                  3.054,                 3.1249,                0.55687,                0.34511,                0.44285,                0.18904,                 2.6749,                  2.797,                 3.1344,               0.006337,               0.006337,               0.006337
                     39,                 2.4014,                 2.7475,                 3.0016,                0.56882,                0.54545,                0.51656,                0.26035,                 2.6527,                 3.6067,                 3.1408,               0.006238,               0.006238,               0.006238
                     40,                 2.4108,                 2.8275,                 3.0234,                0.52717,                0.54545,                0.49222,                 0.1475,                 2.8967,                 2.7008,                 3.3347,               0.006139,               0.006139,               0.006139
                     41,                 2.4133,                 2.7643,                 3.0385,                0.57368,                0.45455,                0.42006,                0.17956,                 2.7736,                 2.7093,                 3.4461,                0.00604,                0.00604,                0.00604
                     42,                 2.4311,                  2.644,                 3.0364,                0.56052,                0.45455,                0.47342,                0.24813,                 2.5058,                 2.6557,                 3.2084,               0.005941,               0.005941,               0.005941
                     43,                 2.4751,                 3.0112,                 2.9867,                      1,                0.40312,                0.62521,                0.27033,                 2.5187,                 2.7046,                 3.1796,               0.005842,               0.005842,               0.005842
                     44,                   2.34,                 2.7043,                 2.8916,                 0.3489,                0.43938,                0.31277,                0.15424,                 2.4018,                 2.6898,                  3.215,               0.005743,               0.005743,               0.005743
                     45,                 2.4322,                 2.6937,                 3.0358,                0.50511,                0.46476,                0.53645,                0.25628,                 2.3772,                 4.7804,                 3.1374,               0.005644,               0.005644,               0.005644
                     46,                 2.3871,                 2.6551,                 2.9651,                      1,                0.36128,                0.52565,                0.21827,                 2.6436,                 2.3403,                 3.3314,               0.005545,               0.005545,               0.005545
                     47,                 2.3093,                 2.6182,                 2.9335,                0.42735,                0.63636,                0.51099,                0.26528,                 2.3523,                 2.8584,                 3.0988,               0.005446,               0.005446,               0.005446
                     48,                 2.2737,                 2.6905,                 2.8828,                0.28834,                0.36364,                0.26331,                0.10625,                 2.3742,                 2.8834,                 3.1537,               0.005347,               0.005347,               0.005347
                     49,                 2.2584,                 3.0817,                  2.809,                0.53829,                0.54545,                0.39754,                0.18356,                  2.495,                  2.276,                 3.1018,               0.005248,               0.005248,               0.005248
                     50,                 2.3281,                  2.624,                 2.9583,                 0.6669,                0.45455,                0.60789,                0.23742,                 2.6308,                  2.274,                 3.1187,               0.005149,               0.005149,               0.005149
                     51,                 2.2405,                 2.5315,                 2.8048,                0.71751,                0.54545,                0.46715,                0.19244,                 2.4752,                 2.9671,                 3.1044,                0.00505,                0.00505,                0.00505
                     52,                 2.2669,                 2.4541,                 2.8671,                0.54702,                0.27273,                0.31156,                0.16643,                 2.6198,                 2.8723,                 3.2945,               0.004951,               0.004951,               0.004951
                     53,                 2.2595,                 2.4791,                 2.8088,                0.57641,                0.54545,                0.49987,                0.23847,                 2.5407,                 3.3194,                 3.1744,               0.004852,               0.004852,               0.004852
                     54,                 2.2267,                 2.3725,                 2.8333,                0.74395,                0.54545,                0.52198,                0.22668,                 2.6087,                 3.3664,                 3.2004,               0.004753,               0.004753,               0.004753
                     55,                 2.2571,                 2.5358,                 2.8372,                0.14505,                0.21723,                0.13742,                0.05277,                 2.5633,                 2.9802,                 3.1874,               0.004654,               0.004654,               0.004654
                     56,                 2.3175,                 2.2637,                 2.9286,                0.54357,                0.45455,                0.51717,                0.25815,                 2.5478,                 2.3187,                 3.2012,               0.004555,               0.004555,               0.004555
                     57,                 2.1541,                 2.4522,                 2.7838,                0.56138,                0.45455,                0.52734,                0.27586,                 2.6946,                 2.3436,                 3.1803,               0.004456,               0.004456,               0.004456
