                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1688,                 2.1283,                 2.6153,                0.44376,                0.36364,                0.38432,                0.18913,                 2.4977,                 2.6188,                 3.0458,               0.006634,               0.006634,               0.006634
                     36,                  2.218,                 2.2568,                  2.685,                0.07015,                0.36364,                0.30626,                0.19982,                  2.596,                 3.5112,                 3.0429,               0.006535,               0.006535,               0.006535
                     37,                 2.3347,                 2.3472,                 2.7318,                0.89768,                0.27273,                 0.3562,                0.19866,                 2.7074,                   8.55,                 3.3132,               0.006436,               0.006436,               0.006436
                     38,                 2.2319,                 2.1683,                 2.6297,                0.51062,                0.57055,                0.55691,                0.19614,                 2.6003,                  6.557,                 3.3779,               0.006337,               0.006337,               0.006337
                     39,                 2.2719,                 2.1425,                 2.6883,                0.72833,                0.45455,                0.42059,                0.15665,                 2.9207,                 2.9676,                 3.5479,               0.006238,               0.006238,               0.006238
                     40,                 2.2351,                 2.0899,                  2.599,                0.47559,                0.36364,                  0.316,                0.09554,                 2.7863,                 4.9384,                 3.3503,               0.006139,               0.006139,               0.006139
                     41,                 2.1115,                 2.0653,                 2.5393,                0.53487,                0.45455,                 0.5211,                0.19449,                 2.6898,                 2.4285,                 3.1446,                0.00604,                0.00604,                0.00604
                     42,                 2.2358,                  2.088,                  2.629,                0.74248,                0.54545,                0.61045,                0.22899,                 2.6936,                 3.9439,                 3.3761,               0.005941,               0.005941,               0.005941
                     43,                 2.0718,                 2.1488,                 2.5164,                0.68337,                0.45455,                 0.4015,                0.20784,                 2.6428,                 2.1016,                 3.3255,               0.005842,               0.005842,               0.005842
                     44,                 2.0413,                  1.972,                 2.4921,                0.52405,                0.54545,                0.55169,                0.21667,                 2.4075,                 1.9105,                 3.0262,               0.005743,               0.005743,               0.005743
                     45,                 2.0298,                 2.0518,                 2.4653,                0.64064,                0.36364,                0.29375,                0.13914,                 2.3537,                 2.5149,                 3.0513,               0.005644,               0.005644,               0.005644
                     46,                 2.0425,                 2.1009,                 2.4533,                0.88335,                0.18182,                0.28536,                0.08747,                  2.738,                 3.6527,                 3.1601,               0.005545,               0.005545,               0.005545
                     47,                 2.2081,                 2.0576,                 2.5324,                0.55854,                0.63636,                0.60943,                0.27981,                 2.7448,                 2.5822,                 3.0967,               0.005446,               0.005446,               0.005446
