                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.6259,                 3.1826,                 3.2345,                0.30627,                0.09091,                0.06389,                0.01889,                 2.8018,                 3.8071,                 3.3085,               0.006634,               0.006634,               0.006634
                     36,                 2.5404,                 3.3647,                 3.2106,                0.34999,                0.45455,                0.27359,                0.11751,                 2.7055,                 2.6772,                  3.266,               0.006535,               0.006535,               0.006535
                     37,                 2.4603,                 2.8285,                 3.1528,                0.77448,                0.18182,                0.43186,                0.22377,                 2.6243,                 3.2144,                 3.4275,               0.006436,               0.006436,               0.006436
                     38,                  2.543,                 3.1843,                 3.1976,                0.11375,                0.36364,                0.17042,                0.07074,                 2.5281,                  5.154,                 3.2513,               0.006337,               0.006337,               0.006337
                     39,                 2.3746,                 2.7471,                  3.049,                0.80409,                0.45455,                0.58442,                0.21875,                 2.5233,                 2.6703,                 3.2837,               0.006238,               0.006238,               0.006238
                     40,                 2.5054,                 2.6774,                 3.1592,                0.30768,                0.45455,                0.44569,                0.19015,                 2.7759,                 3.2583,                  3.316,               0.006139,               0.006139,               0.006139
                     41,                 2.5311,                 2.7476,                 3.1564,                0.62062,                0.18182,                0.22228,                0.10021,                 2.8206,                      3,                 3.3848,                0.00604,                0.00604,                0.00604
                     42,                 2.4924,                 2.9106,                 3.1444,                 0.7307,                0.45455,                0.50575,                0.20369,                 2.7117,                 2.7179,                 3.3143,               0.005941,               0.005941,               0.005941
                     43,                 2.6132,                 2.9817,                 3.1717,                0.43685,                0.63636,                0.53725,                0.24359,                 2.6233,                 3.0801,                 3.2675,               0.005842,               0.005842,               0.005842
                     44,                 2.4506,                 2.7898,                 3.1152,                  0.347,                0.63636,                0.41102,                0.19353,                 2.5727,                  8.789,                 3.4186,               0.005743,               0.005743,               0.005743
                     45,                 2.4872,                 2.7486,                  3.154,                0.49527,                0.45455,                0.49977,                0.17367,                 2.6286,                 7.9882,                 3.4756,               0.005644,               0.005644,               0.005644
                     46,                 2.4617,                 2.6616,                 3.1018,                0.48455,                0.63636,                0.41713,                0.18644,                 2.6178,                 2.5843,                 3.3325,               0.005545,               0.005545,               0.005545
                     47,                 2.3672,                 2.7348,                 3.0711,                0.62771,                0.54545,                0.61512,                0.23297,                 2.5728,                 14.157,                 3.4257,               0.005446,               0.005446,               0.005446
                     48,                 2.4209,                 2.8384,                 3.0657,                0.45622,                0.36364,                0.34251,                0.12421,                 2.9935,                 2.6727,                 3.7174,               0.005347,               0.005347,               0.005347
                     49,                 2.3437,                 3.0334,                 2.9102,                0.43969,                0.36364,                 0.4898,                0.17625,                 2.7714,                 2.4923,                 3.4199,               0.005248,               0.005248,               0.005248
                     50,                 2.4247,                 2.6845,                 3.1075,                0.36732,                0.54545,                0.44673,                0.23491,                 2.8387,                 2.6246,                 3.3911,               0.005149,               0.005149,               0.005149
                     51,                 2.3785,                 2.6708,                 3.1249,                0.66604,                0.36364,                0.43323,                0.17219,                 2.6852,                 2.8302,                  3.407,                0.00505,                0.00505,                0.00505
                     52,                 2.4653,                 2.5952,                 3.1319,                0.65344,                 0.1746,                0.23636,                0.11352,                 2.8124,                 3.2865,                 3.3251,               0.004951,               0.004951,               0.004951
                     53,                 2.3767,                 2.6586,                 3.0539,                0.59874,                0.36364,                0.46589,                0.19197,                  2.735,                 2.6604,                 3.3537,               0.004852,               0.004852,               0.004852
                     54,                 2.3918,                 2.6027,                 3.0097,                  0.406,                0.63636,                  0.399,                0.16299,                 2.7093,                 3.2125,                 3.3617,               0.004753,               0.004753,               0.004753
                     55,                 2.4205,                 2.7715,                 3.0099,                0.25438,                0.27273,                0.22536,                0.10496,                 2.8665,                 2.9093,                 3.3737,               0.004654,               0.004654,               0.004654
                     56,                 2.3797,                 2.5178,                 3.0809,                0.67756,                0.38444,                0.51433,                0.22373,                 2.6892,                 2.5049,                 3.2435,               0.004555,               0.004555,               0.004555
                     57,                  2.261,                  2.632,                 2.9995,                0.63019,                0.36364,                 0.3982,                 0.1612,                 2.7081,                 2.5218,                 3.3069,               0.004456,               0.004456,               0.004456
                     58,                 2.2583,                 2.5257,                 2.9327,                0.40329,                0.72727,                0.47934,                0.24293,                 2.5831,                  3.895,                  3.229,               0.004357,               0.004357,               0.004357
                     59,                 2.3341,                 2.6164,                 2.9941,                0.47502,                0.54545,                0.54021,                0.25922,                 2.6908,                 2.8287,                 3.2821,               0.004258,               0.004258,               0.004258
