                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9304,                 1.2716,                 1.6391,                0.70106,                0.70887,                0.69973,                0.33712,                 1.8742,                 1.2126,                 1.7422,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.9332,                 1.3005,                 1.6573,                0.68183,                0.68217,                0.66689,                0.31295,                  1.935,                 1.2654,                 1.7909,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.9234,                  1.269,                 1.6537,                0.67363,                0.69337,                 0.6848,                0.32984,                 1.8432,                 1.2343,                 1.7308,               0.001307,               0.001307,               0.001307
                     38,                 1.9231,                 1.2635,                 1.6465,                0.68337,                0.70084,                0.67933,                0.32611,                 1.8713,                 1.2087,                 1.7399,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.9111,                 1.2561,                  1.656,                0.69365,                0.69337,                0.68968,                0.32451,                 1.9017,                 1.2475,                 1.7654,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9145,                 1.2632,                 1.6392,                0.69489,                0.69854,                0.70052,                0.32858,                 1.8904,                 1.2024,                 1.7579,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.9193,                 1.2666,                 1.6442,                0.70551,                0.70112,                0.69753,                0.33487,                 1.8669,                 1.2331,                 1.7375,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.9067,                 1.2854,                 1.6412,                0.70162,                0.73127,                0.70157,                0.33975,                 1.8335,                 1.2113,                 1.7181,               0.001208,               0.001208,               0.001208
                     43,                 1.9156,                 1.2636,                 1.6386,                 0.6566,                0.70488,                0.66101,                0.32262,                 1.8454,                 1.3281,                 1.7246,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.886,                 1.2493,                 1.6218,                 0.7017,                0.67672,                0.68803,                0.33127,                 1.8568,                 1.2243,                 1.7268,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.8877,                 1.2532,                 1.6254,                0.70594,                0.67822,                0.69517,                0.34143,                 1.8121,                 1.1847,                 1.7094,              0.0011486,              0.0011486,              0.0011486
